,Mass,CHZ,age when mass depleted(10th),age when mass depleted(50th),age when mass depleted(90th)
0,0.30204081632653057,0.22118183467059516,668.7458745874587,579.9149914991499,516.5356535653566
1,0.32448979591836735,0.23445199240018194,693.1993199319932,601.3741374137414,531.008100810081
2,0.3469387755102041,0.24661667260737985,740.1100110011001,630.8180818081809,546.4786478647865
3,0.3693877551020408,0.2606418202070341,764.5634563456346,638.8028802880289,550.4710471047105
4,0.3918367346938776,0.27413284095899404,1005.6045604560456,650.7800780078007,550.970097009701
5,0.41428571428571426,0.289375802031101,1291.5601560156015,657.7667766776677,554.4634463446345
6,0.43673469387755104,0.3049703176648607,1578.014801480148,662.7572757275727,548.4748474847485
7,0.4591836734693877,0.3213040673116201,1861.4751475147516,714.1594159415941,539.99099909991
8,0.4816326530612245,0.3388710085697935,2319.60296029603,793.5083508350835,523.023302330233
9,0.5040816326530612,0.3562124978061511,2875.5445544554455,922.7622762276228,517.5337533753375
10,0.5265306122448979,0.3764932948823133,3339.161916191619,1044.5304530453045,514.5394539453946
11,0.5489795918367346,0.3952038412734078,4176.0686068606865,1271.099109910991,509.54895489548954
12,0.5714285714285714,0.41829925867202267,4913.165316531653,1493.1763176317631,501.06510651065105
13,0.5938775510204082,0.4391044304540547,0,1669.3409340934095,494.0784078407841
14,0.6163265306122448,0.46402226640567257,0,1913.3763376337633,487.5907590759076
15,0.6387755102040816,0.4886395456209325,0,2246.2426242624265,482.6002600260026
16,0.6612244897959183,0.5131037583639685,0,2572.122212221222,470.6230623062306
17,0.6836734693877551,0.5409550550482299,0,2805.1785178517853,464.1354135413541
18,0.7061224489795918,0.5682552111306883,0,3123.0733073307333,458.14681468146813
19,0.7285714285714285,0.5981728719111932,0,3420.00800080008,449.6629662966297
20,0.7510204081632652,0.6300360182016991,0,4287.3567356735675,457.64776477647763
21,0.773469387755102,0.6631752360584271,0,0,456.6496649664967
22,0.7959183673469387,0.7019931627944478,0,0,487.5907590759076
23,0.8183673469387754,0.7471387963903218,0,0,514.5394539453946
24,0.8408163265306122,0.7903468987685444,0,0,610.8560856085609
25,0.8632653061224489,0.83516820409548,0,0,693.6983698369837
26,0.8857142857142857,0.8733699182427428,0,0,720.6470647064707
27,0.9081632653061223,0.9099546438955772,0,0,745.1005100510051
28,0.9306122448979591,0.9510556819725265,0,0,815.4665466546655
29,0.9530612244897958,0.9910926010822988,0,0,877.3487348734874
30,0.9755102040816326,1.0384616878575597,0,0,1000.6140614061406
31,0.9979591836734693,1.0826187133198921,0,0,1294.0554055405541
32,1.0204081632653061,1.1357839215618069,0,0,2361.024102410241
33,1.042857142857143,1.1864815010081626,0,0,3025.259525952595
34,1.0653061224489795,1.2433528151326247,0,0,2152.4212421242123
35,1.0877551020408163,1.300703150813062,0,0,2460.834083408341
36,1.110204081632653,1.3677060712837679,0,0,3388.068806880688
37,1.1326530612244898,1.4448454324384759,0,0,4513.426342634263
38,1.1551020408163266,1.5218372250215584,0,0,0
39,1.1775510204081634,1.6113587288633835,0,0,0
40,1.2,1.695415632569359,0,0,0
